country_name,iso_code,region,population_millions
Austria,AT,Western,9.1
Belgium,BE,Western,11.7
Bulgaria,BG,Eastern,6.5
Croatia,HR,Southern,3.9
Cyprus,CY,Southern,0.9
Czechia,CZ,Eastern,10.5
Denmark,DK,Northern,5.9
Estonia,EE,Northern,1.4
Finland,FI,Northern,5.5
France,FR,Western,68.0
Germany,DE,Western,84.4
Greece,GR,Southern,10.4
Hungary,HU,Eastern,9.7
Ireland,IE,Western,5.1
Italy,IT,Southern,59.0
Latvia,LV,Northern,1.9
Lithuania,LT,Northern,2.9
Luxembourg,LU,Western,0.7
Malta,MT,Southern,0.5
Netherlands,NL,Western,17.8
Poland,PL,Eastern,38.0
Portugal,PT,Southern,10.4
Romania,RO,Eastern,19.1
Slovakia,SK,Eastern,5.4
Slovenia,SI,Southern,2.1
Spain,ES,Southern,48.0
Sweden,SE,Northern,10.5
