year,country,disagree_pct
2022,Belgium,10.0
2022,Bulgaria,15.0
2022,Czechia,23.0
2022,Denmark,3.0
2022,Germany,6.0
2022,Estonia,6.0
2022,Ireland,4.0
2022,Greece,7.0
2022,Spain,2.0
2022,France,8.0
2022,Croatia,7.0
2022,Italy,12.0
2022,Cyprus,3.0
2022,Latvia,7.0
2022,Lithuania,9.0
2022,Luxembourg,4.0
2022,Hungary,9.0
2022,Malta,5.0
2022,Netherlands,7.0
2022,Austria,19.0
2022,Poland,7.0
2022,Portugal,1.0
2022,Romania,21.0
2022,Slovenia,10.0
2022,Slovakia,16.0
2022,Finland,2.0
2022,Sweden,2.0
2023,Belgium,15.0
2023,Bulgaria,25.0
2023,Czechia,23.0
2023,Denmark,4.0
2023,Germany,13.0
2023,Estonia,16.0
2023,Ireland,4.0
2023,Greece,11.0
2023,Spain,4.0
2023,France,9.0
2023,Croatia,8.0
2023,Italy,14.0
2023,Cyprus,10.0
2023,Latvia,9.0
2023,Lithuania,6.0
2023,Luxembourg,4.0
2023,Hungary,18.0
2023,Malta,6.0
2023,Netherlands,2.0
2023,Austria,24.0
2023,Poland,11.0
2023,Portugal,1.0
2023,Romania,30.0
2023,Slovenia,14.0
2023,Slovakia,18.0
2023,Finland,2.0
2023,Sweden,2.0
2024,Belgium,18.0
2024,Bulgaria,30.0
2024,Czechia,33.0
2024,Denmark,3.0
2024,Germany,18.0
2024,Estonia,16.0
2024,Ireland,9.0
2024,Greece,9.0
2024,Spain,6.0
2024,France,15.0
2024,Croatia,13.0
2024,Italy,17.0
2024,Cyprus,15.0
2024,Latvia,6.0
2024,Lithuania,8.0
2024,Luxembourg,8.0
2024,Hungary,20.0
2024,Malta,7.0
2024,Netherlands,7.0
2024,Austria,24.0
2024,Poland,14.0
2024,Portugal,4.0
2024,Romania,26.0
2024,Slovenia,15.0
2024,Slovakia,14.0
2024,Finland,3.0
2024,Sweden,3.0
