year,country,gdp_growth_pct,inflation_rate
2020,Austria,-6.3,1.4
2020,Belgium,-4.8,0.4
2020,Bulgaria,-3.1,1.2
2020,Croatia,-8.3,0.0
2020,Cyprus,-3.2,-1.1
2020,Czechia,-5.3,3.3
2020,Denmark,-1.8,0.3
2020,Estonia,-2.9,-0.6
2020,Finland,-2.5,0.4
2020,France,-7.4,0.5
2020,Germany,-4.1,0.4
2020,Greece,-9.2,-1.3
2020,Hungary,-4.3,3.4
2020,Ireland,7.2,-0.5
2020,Italy,-8.9,-0.2
2020,Latvia,-3.5,0.1
2020,Lithuania,0.0,1.1
2020,Luxembourg,-0.5,0.0
2020,Malta,-3.5,0.8
2020,Netherlands,-3.9,1.1
2020,Poland,-2.0,3.6
2020,Portugal,-8.2,-0.1
2020,Romania,-3.6,2.3
2020,Slovakia,-2.6,2.0
2020,Slovenia,-4.1,-0.3
2020,Spain,-10.9,-0.3
2020,Sweden,-1.9,0.7
2021,Austria,4.9,2.8
2021,Belgium,6.3,3.2
2021,Bulgaria,7.8,2.8
2021,Croatia,12.6,2.7
2021,Cyprus,11.4,2.3
2021,Czechia,4.0,3.3
2021,Denmark,6.5,1.9
2021,Estonia,8.3,4.5
2021,Finland,2.7,2.1
2021,France,6.9,2.1
2021,Germany,3.9,3.2
2021,Greece,8.7,0.6
2021,Hungary,7.2,5.2
2021,Ireland,16.3,2.4
2021,Italy,8.9,2.0
2021,Latvia,6.9,3.2
2021,Lithuania,6.4,4.6
2021,Luxembourg,6.9,3.5
2021,Malta,13.4,0.7
2021,Netherlands,6.3,2.8
2021,Poland,6.9,5.2
2021,Portugal,5.6,0.9
2021,Romania,5.6,4.1
2021,Slovakia,5.7,2.8
2021,Slovenia,8.4,2.0
2021,Spain,6.7,3.0
2021,Sweden,5.2,2.7
2022,Austria,5.3,8.6
2022,Belgium,4.0,10.3
2022,Bulgaria,4.1,13.0
2022,Croatia,7.3,10.7
2022,Cyprus,8.3,8.1
2022,Czechia,2.8,14.8
2022,Denmark,0.4,8.6
2022,Estonia,-1.2,19.4
2022,Finland,0.8,7.2
2022,France,2.7,5.9
2022,Germany,1.8,8.7
2022,Greece,5.5,9.3
2022,Hungary,4.2,15.3
2022,Ireland,7.5,8.1
2022,Italy,4.8,8.7
2022,Latvia,1.9,17.2
2022,Lithuania,2.5,18.9
2022,Luxembourg,-1.1,8.2
2022,Malta,2.6,6.1
2022,Netherlands,5.0,11.6
2022,Poland,5.3,13.2
2022,Portugal,7.0,8.1
2022,Romania,4.2,12.0
2022,Slovakia,0.5,12.1
2022,Slovenia,2.7,9.3
2022,Spain,6.4,8.3
2022,Sweden,1.3,8.1
2023,Austria,-0.8,7.7
2023,Belgium,1.7,2.3
2023,Bulgaria,1.7,8.6
2023,Croatia,3.8,8.4
2023,Cyprus,3.6,3.9
2023,Czechia,0.0,12.0
2023,Denmark,0.6,3.4
2023,Estonia,-2.7,9.1
2023,Finland,-1.3,4.3
2023,France,1.4,5.7
2023,Germany,-0.9,6.0
2023,Greece,2.1,4.2
2023,Hungary,-0.8,17.0
2023,Ireland,-2.5,5.2
2023,Italy,0.9,5.9
2023,Latvia,-0.9,9.1
2023,Lithuania,0.7,8.7
2023,Luxembourg,0.1,2.9
2023,Malta,10.6,5.6
2023,Netherlands,-0.6,4.1
2023,Poland,0.2,10.8
2023,Portugal,3.1,5.3
2023,Romania,2.3,9.7
2023,Slovakia,2.1,11.0
2023,Slovenia,2.4,7.2
2023,Spain,2.5,3.4
2023,Sweden,-0.2,5.9
2024,Austria,-0.7,2.9
2024,Belgium,1.1,4.3
2024,Bulgaria,3.4,2.6
2024,Croatia,3.8,4.0
2024,Cyprus,3.9,2.3
2024,Czechia,1.3,2.7
2024,Denmark,3.5,1.3
2024,Estonia,-0.1,3.7
2024,Finland,0.4,1.0
2024,France,1.2,2.3
2024,Germany,-0.5,2.5
2024,Greece,2.1,3.0
2024,Hungary,0.6,3.7
2024,Ireland,2.6,1.3
2024,Italy,0.8,1.1
2024,Latvia,0.0,1.3
2024,Lithuania,3.0,0.9
2024,Luxembourg,0.4,2.3
2024,Malta,6.2,2.4
2024,Netherlands,1.1,3.2
2024,Poland,3.0,3.7
2024,Portugal,2.2,2.7
2024,Romania,0.9,5.8
2024,Slovakia,1.9,3.2
2024,Slovenia,1.7,2.0
2024,Spain,3.5,2.9
2024,Sweden,1.0,2.0
2025,Austria,,3.6
2025,Belgium,1.0,3.0
2025,Bulgaria,,3.5
2025,Croatia,3.2,4.4
2025,Cyprus,3.8,0.8
2025,Czechia,,2.3
2025,Denmark,2.9,1.8
2025,Estonia,0.6,4.8
2025,Finland,,1.8
2025,France,,0.9
2025,Germany,0.2,2.3
2025,Greece,,2.9
2025,Hungary,0.4,4.4
2025,Ireland,,2.1
2025,Italy,0.5,1.6
2025,Latvia,2.1,3.8
2025,Lithuania,2.9,3.4
2025,Luxembourg,,2.5
2025,Malta,4.0,2.4
2025,Netherlands,1.9,3.0
2025,Poland,3.6,3.3
2025,Portugal,1.9,2.2
2025,Romania,,6.8
2025,Slovakia,,4.2
2025,Slovenia,1.1,2.5
2025,Spain,2.8,2.7
2025,Sweden,1.5,2.6
